School Year,name,short_name
2023/2024,Físico-Química,FQ
2023/2024,Ciências Naturais,CN
2023/2024,Geografia,Geo
2023/2024,História,Hist
2023/2024,Matemática,Mat
2023/2024,Português,Port
2023/2024,Português Língua Não Materna ,PLNM
2023/2024,Cidadania e desenvolvimento,CD
2023/2024,Educação Física,Ed Fis
2023/2024,Tecnologias da Informação e Comunicação ,TIC
2023/2024,Educação Tecnológica,ET
2023/2024,Educação Visual,EV
2023/2024,Francês,Fran
2023/2024,Inglês,Ing
2023/2024,Espanhol,Esp
2023/2024,Educação Musical,Ed Mus
2023/2024,Reforço Matemática,Ref Mat
2023/2024,Reforço Português,Ref Port
2023/2024,Apoio Especializado,Ap Esp
2023/2024,Coadjuvação,Coadj